"Pathway"	"Genes"
"201"	"Pathway.KEGG_Thermogenesis"	"CREB3, CREB1, CREB3L4, CREB3L2, CREB3L3, CREB3L1, CREB5, PRKACA, PRKACB, PRKACG, MAPK14, MAPK11, MAPK13, MAPK12, GNAS, ADRB3, ATF2, FGF21, UCP1, PPARGC1A, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, ADCY10, PPARG, SIRT6, NPR1, PRKG1, PRKG2, KDM3B, KDM3A, ACTL6B, ARID1B, ACTB, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, ACTG1, DPF3, DPF1, ARID1A, ACTL6A, LIPE, PLIN1, CPT1C, CPT1A, CPT1B, ZNF516, KDM1A, RPS6KA6, RPS6KA1, RPS6KA2, RPS6KA3, TSC1, TSC2, RHEB, MTOR, MLST8, RPTOR, AKT1S1, RPS6KB1, RPS6KB2, RPS6, FGFR1, KLB, FRS2, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, PRDM16, CPT2, ACSL1, ACSL3, ACSL4, ACSL6, ACSL5, CNR1, PNPLA2, MGLL, MAP2K3, MAP3K5, PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, GCG, BMP8A, BMP8B, SLC25A29, SLC25A20, NDUFC2-KCTD14, COX17, UQCR11, COX20, COX6B2, NDUFA11, COX4I1, COX5B, COX6A1, COX6A2, COX6B1, COX6C, COX7A1, COX7A2, COX7B, COX7C, COX8A, COX10, COX11, COX15, NDUFAF6, CYC1, COX7B2, NDUFAF3, UQCRQ, COX18, COA3, NDUFAF4, UQCR10, COX8C, NDUFS7, COA6, UQCRHL, COX1, COX2, COX3, CYTB, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV2, NDUFV3, COA5, NDUFA13, NDUFAF1, COX16, COA4, NDUFB11, NDUFAF7, COA1, NDUFA12, NDUFA4L2, SDHA, SDHB, SDHC, SDHD, COA7, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, NDUFAF5, COX4I2, COX14, COX19, COX7A2L, NDUFAF2, COX5A, ATP5PD, ATP5MG, ATP6, ATP8, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5PB, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5PF, ATP5PO, ATP5MF, NPPA, NPPB"
"202"	"Pathway.KEGG_Long-term potentiation"	"PRKCA, PRKCB, PRKCG, CAMK4, CREBBP, EP300, CAMK2A, CAMK2B, CAMK2D, CAMK2G, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, RPS6KA6, RPS6KA1, RPS6KA2, RPS6KA3, ATF4, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, PRKACA, PRKACB, PRKACG, CACNA1C, PPP1CA, PPP1CB, PPP1CC, ADCY1, ADCY8, GRIA1, GRIA2, RAPGEF3, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, HRAS, KRAS, NRAS, RAP1A, RAP1B, PPP1R1A, GNAQ, GRM1, GRM5, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3"
"203"	"Pathway.KEGG_Synaptic vesicle cycle"	"CACNA1A, CACNA1B, STX1B, STX2, STX1A, STX3, RIMS1, CPLX2, CPLX1, CPLX4, CPLX3, RAB3A, VAMP2, SNAP25, NAPA, NSF, SYT1, CLTA, CLTB, CLTC, CLTCL1, AP2M1, AP2S1, AP2A1, AP2A2, AP2B1, DNM1, DNM2, DNM3, STXBP1, UNC13B, UNC13A, UNC13C, SLC32A1, SLC17A8, SLC17A7, SLC17A6, SLC18A1, SLC18A2, SLC18A3, TCIRG1, ATP6V1G3, ATP6V0E2, ATP6V0A2, ATP6V0D2, ATP6V1C2, ATP6V0A4, ATP6V1D, ATP6V1H, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V0C, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V1G2, ATP6V0A1, ATP6V0E1, ATP6V1E2, ATP6V0D1, ATP6V1F, ATP6V1G1, SLC1A1, SLC1A2, SLC1A3, SLC1A6, SLC1A7, SLC6A1, SLC6A2, SLC6A3, SLC6A4, SLC6A7, SLC6A9, SLC6A11, SLC6A12, SLC6A13, SLC6A5"
"204"	"Pathway.KEGG_Neurotrophin signaling pathway"	"NTRK1, NTRK2, NTRK3, BDNF, NTF4, NTF3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, SHC2, SHC4, SHC3, SHC1, GRB2, PRKCD, NGF, NGFR, AKT3, AKT1, AKT2, HRAS, KRAS, NRAS, MAP2K1, MAP2K2, RAF1, BRAF, SOS1, SOS2, MAPK1, MAPK3, RPS6KA6, RPS6KA1, RPS6KA2, RPS6KA3, CRK, CRKL, RAPGEF1, RAP1A, RAP1B, PTPN11, GAB1, BAD, GSK3B, FOXO3, NFKBIA, NFKBIB, NFKBIE, NFKB1, RELA, ATF4, FRS2, PDPK1, FASLG, SORT1, KIDINS220, RPS6KA5, CAMK4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, MATK, MAPK8, MAPK9, MAPK10, RHOA, TP53, MAP3K1, JUN, MAP3K5, IRS1, MAPKAPK2, MAPK14, MAPK11, MAPK13, MAPK12, MAP2K5, MAPK7, MAP3K3, ARHGDIA, ARHGDIB, ARHGDIG, SH2B2, SH2B3, SH2B1, ABL1, MAP2K7, CDC42, RAC1, TP73, TRAF6, ZNF274, MAGED1, PRDM4, BEX3, RIPK2, IRAK3, IRAK1, IRAK2, IRAK4, YWHAE, IKBKB, BCL2, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, PSEN1, PSEN2, BAX"
"205"	"Pathway.KEGG_Retrograde endocannabinoid signaling"	"SLC17A8, SLC17A7, SLC17A6, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, PRKCA, PRKCB, PRKCG, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1S, PTGS2, GABRR3, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRR1, GABRR2, GABRQ, CNR1, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, GRM1, GRM5, DAGLB, DAGLA, MGLL, ABHD6, SLC32A1, GRIA1, GRIA2, GRIA3, GRIA4, KCNJ3, KCNJ5, KCNJ6, KCNJ9, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, FAAH, NAPEPLD, MAPK14, MAPK1, MAPK3, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAPK12, RIMS1, NDUFC2-KCTD14, NDUFA11, NDUFS7, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV2, NDUFV3, NDUFA13, NDUFB11, NDUFA12, NDUFA4L2"
"206"	"Pathway.KEGG_Glutamatergic synapse"	"GRM7, GRM8, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, GRIA1, GRIA2, GRIA3, GRIA4, GRIN3A, GRIN3B, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRM1, GRM5, GRM2, GRM3, GRM4, GRM6, SLC1A1, SLC1A6, CACNA1C, CACNA1D, SLC1A2, SLC1A3, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, SLC38A3, SLC38A2, SLC38A1, SLC17A8, SLC17A7, SLC17A6, GNAS, PRKACA, PRKACB, PRKACG, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, PRKCA, PRKCB, PRKCG, TRPC1, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, GLS2, GLS, GLUL, SLC1A7, GRK2, GRK3, CACNA1A, KCNJ3, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, PLD1, PLD2, MAPK1, MAPK3, HOMER3, HOMER2, HOMER1, DLG4, DLGAP1, SHANK2, SHANK1, SHANK3"
"207"	"Pathway.KEGG_Cholinergic synapse"	"CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CHRNA6, CHRM1, CHRM2, CHRM4, ACHE, SLC18A3, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, GNA11, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, PRKCA, PRKCB, PRKCG, CHAT, SLC5A7, CACNA1A, CACNA1B, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, CHRM5, CHRM3, KCNJ2, KCNJ4, KCNJ12, KCNJ14, KCNQ1, KCNQ2, KCNQ3, KCNQ5, KCNQ4, MAPK1, MAPK3, CREB3, CREB1, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, CAMK4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, BCL2, CACNA1C, CACNA1D, CACNA1F, CACNA1S, PIK3R6, PIK3R5, PIK3CG, HRAS, KRAS, NRAS, MAP2K1, FOS, JAK2, FYN, KCNJ3, KCNJ6"
"208"	"Pathway.KEGG_Serotonergic synapse"	"HTR4, HTR6, HTR7, HTR2A, HTR2B, HTR2C, SLC18A1, SLC18A2, GNAS, ADCY5, PRKACA, PRKACB, PRKACG, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, PRKCA, PRKCB, PRKCG, DDC, SLC6A4, CACNA1A, CACNA1B, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, RAPGEF3, TPH2, TPH1, HTR5A, MAOA, MAOB, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, CACNA1C, CACNA1D, CACNA1F, CACNA1S, HTR3C, HTR3D, HTR3E, HTR3A, HTR3B, TRPC1, LOC107987478, LOC107987479, CYP2C19, CYP2C8, CYP2C9, CYP2C18, CYP2D7, CYP2D6, CYP2J2, CYP4X1, ALOX12, ALOX5, ALOX12B, ALOX15, ALOX15B, PTGS1, PTGS2, CASP3, MAPK1, MAPK3, DUSP1, KCNJ3, KCNJ5, KCNJ6, KCNJ9, HRAS, KRAS, NRAS, ARAF, RAF1, BRAF, MAP2K1, APP, KCND2, KCNN2, GABRB1, GABRB2, GABRB3"
"209"	"Pathway.KEGG_GABAergic synapse"	"GABBR1, GABBR2, SLC6A11, SLC6A13, SLC32A1, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, GAD1, GAD2, SLC6A1, SLC6A12, CACNA1A, CACNA1B, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, ABAT, GLUL, KCNJ6, GLS2, GLS, PRKACA, PRKACB, PRKACG, GPHN, GABARAP, GABARAPL2, GABARAPL1, NSF, TRAK2, PLCL1, HAP1, CACNA1C, CACNA1D, CACNA1F, CACNA1S, GABRR3, GABRR1, GABRR2, SLC12A5, PRKCA, PRKCB, PRKCG, SRC, SLC38A3, SLC38A5, SLC38A2, SLC38A1"
"210"	"Pathway.KEGG_Dopaminergic synapse"	"DRD5, SLC6A3, SLC18A1, SLC18A2, GNAL, GNAS, ADCY5, PRKACA, PRKACB, PRKACG, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, PRKCA, PRKCB, PRKCG, DDC, MAOA, MAOB, CACNA1A, CACNA1B, DRD2, GNB5, GNAI1, GNAI2, GNAI3, GNAO1, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, AKT3, AKT1, AKT2, GSK3A, GSK3B, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, PPP1R1B, MAPK14, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAPK12, TH, DRD1, DRD3, DRD4, COMT, LRTOMT, FOS, PPP3CA, PPP3CB, PPP3CC, CAMK2A, CAMK2B, CAMK2D, CAMK2G, ARRB1, ARRB2, PPP2R3B, PPP2R3C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2R2D, PPP1CA, PPP1CB, PPP1CC, KCNJ3, KCNJ5, KCNJ6, KCNJ9, SCN1A, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, CACNA1C, CACNA1D, KIF5A, KIF5B, KIF5C, CLOCK, ARNTL, GRIA1, GRIA2, GRIA3, GRIA4, GRIN2A, GRIN2B, CALY"
"211"	"Pathway.KEGG_Long-term depression"	"PLCB1, PLCB2, PLCB3, PLCB4, GNA11, GNAQ, GRIA1, GRIA2, GRIA3, RYR1, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, GNA13, GNA12, GNAI1, GNAI2, GNAI3, GNAO1, GNAS, GNAZ, NOS1, GRM1, PRKCA, PRKCB, PRKCG, IGF1R, CRHR1, CRH, IGF1, GUCY1A2, GUCY1A1, GUCY1B1, GRID2, PRKG1, PRKG2, CACNA1A, PPP1R17, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, HRAS, KRAS, NRAS, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, LYN, ITPR1, ITPR2, ITPR3"
"212"	"Pathway.KEGG_Olfactory transduction"	"GNAL, GNB1, GNG7, GNG13, ADCY3, LOC102723532, LOC105369274, OR5I1, LOC107987545, LOC112268384, OR52E2, OR52J3, OR51L1, OR51A7, OR51S1, OR51F2, OR52R1, OR4C46, OR4X2, OR4B1, OR52M1, OR52K2, OR5P2, OR5P3, OR8I2, OR2D3, OR2D2, OR52W1, OR56A4, OR56A1, OR2AP1, OR10P1, OR10AD1, OR10A7, OR4K14, OR4L1, OR11H6, OR4D2, OR7D4, OR7G1, OR1M1, OR1I1, OR10H4, OR2M5, OR2M3, OR2T12, OR14C36, OR2T34, OR2T10, OR2T4, OR2T11, OR10J5, OR2AJ1, OR2B11, OR10T2, OR6P1, OR10X1, OR10Z1, OR6K6, OR6N1, OR9A4, OR2Y1, OR9A2, OR2A14, OR6B1, OR2F2, OR13C5, OR13C8, OR13C3, OR13C4, OR13F1, OR1L8, OR1N2, OR1N1, OR52B4, OR52I2, OR51E1, OR10A5, OR2AG1, OR6B3, OR1Q1, OR7D2, OR56B4, OR8U1, OR4C16, OR4C11, OR4S2, OR4C6, OR5D14, OR5L1, OR5D18, OR5AS1, OR8K5, OR5T2, OR8H1, OR8K3, OR8J1, OR5R1, OR5M3, OR5M8, OR5M11, OR5AR1, OR8B12, OR8G5, OR10G8, OR10G9, OR10S1, OR6T1, OR4D5, OR6Q1, OR9I1, OR9Q1, OR9Q2, OR1S2, OR1S1, OR10Q1, OR5B17, OR5B21, OR5A2, OR5A1, OR4D6, OR4D11, OR52A1, OR6C74, OR6C3, OR2T6, OR1L4, OR52B2, OR4C3, OR4S1, OR51F1, OR1C1, OR1A2, OR2F1, OR2B6, OR1J4, OR2M4, OR2L2, OR2K2, OR7A17, OR5L2, OR5K1, OR5H1, OR10J1, OR8G2P, OR8B8, OR8G1, OR10A3, OR10D3, OR12D2, OR12D1, OR11A1, OR10H3, OR10G3, OR10G2, OR10H2, OR10H1, OR8B2, OR7E24, OR7C2, OR7A5, OR7C1, OR4F4, OR4F3, OR4E2, OR4E1, OR4D1, OR2W1, OR2V1, OR2T1, OR2J2, OR2H1, OR1L3, OR1L1, OR1J2, OR51B5, OR10AG1, OR5J2, OR4C13, OR4C12, OR52Z1, OR51V1, OR8D1, OR8D2, OR8B4, OR9G4, OR10A4, OR6C6, OR4K3, OR4N4, OR2Z1, OR10H5, OR2L13, OR14A16, OR2V2, OR13C9, OR13D1, OR8D4, OR5F1, OR5AP2, OR52L1, OR2AG2, OR52B6, OR2AT4, OR10A2, OR6C2, OR6C4, OR8S1, OR6S1, OR6F1, OR14K1, OR2W3, OR2T8, OR2T3, OR10R2, OR2T29, OR6V1, OR2A12, OR2A1, OR1J1, OR1B1, OR13H1, OR56B1, OR14A2, OR6B2, OR52K1, OR52I1, OR51D1, OR52A5, OR51B6, OR51M1, OR51Q1, OR51I1, OR51I2, OR52D1, OR52H1, OR52N4, OR52N5, OR52N2, OR52E6, OR52E8, OR52E4, OR52E5, OR56A3, OR56A5, OR10A6, OR4X1, OR5D13, OR5D16, OR5W2, OR8H2, OR8H3, OR5T3, OR5T1, OR8K1, OR5M9, OR5M10, OR5M1, OR9G1, OR5AK2, OR5B2, OR5B12, OR5AN1, OR4D10, OR4D9, OR10V1, OR6X1, OR6M1, OR10G4, OR10G7, OR8B3, OR8A1, OR6C1, OR6C75, OR6C76, OR6C70, OR4N2, OR4K2, OR4Q2, OR4K13, OR4K17, OR4N5, OR11G2, OR11H7, OR11H4, OR5AU1, OR4M2, OR4F6, OR4F15, OR7G2, OR7G3, OR7A10, OR10K2, OR10K1, OR6Y1, OR6K3, OR10J4, OR11L1, OR2L8, OR2AK2, OR2L3, OR2M2, OR2T33, OR2M7, OR2G6, OR10AC1, OR2A25, OR13J1, OR13C2, OR1L6, OR5C1, OR1K1, OR2A5, OR2A7, OR51H1, OR51T1, OR51A4, OR51A2, OR2T2, OR2T5, OR14I1, OR5K2, OR2A42, OR2T27, OR2T35, OR4A47, OR4C45, OR5H14, OR5H15, OR5K3, OR5K4, OR6C65, OR6C68, OR11H12, OR4F21, OR5B3, OR9K2, OR4Q3, OR4M1, OR10J3, OR2W5, OR13G1, OR1F12, OR2B3, OR2J1, OR2J3, OR14J1, OR10C1, OR2A2, OR1D2, OR1F1, OR2C1, OR3A1, OR3A2, OR8U8, OR8U9, OR9G9, OR2S2, OR1D4, OR4F29, OR13A1, OR5H6, OR52E1, OR5H2, OR4K5, OR2H2, OR51G1, OR11H2, OR51B4, OR51B2, OR4C5, OR51J1, OR52N1, OR5AL1, OR10G6, OR4F5, OR2A4, OR4K1, OR6J1, OR5AC2, OR11H1, OR4F17, OR4K15, OR8J3, OR51G2, OR51E2, OR4P4, OR4C15, OR4A5, OR4A16, OR4A15, OR10W1, OR2AE1, OR4F16, OR6N2, OR6K2, OR2T7, OR2L5, OR2G3, OR2G2, OR2C3, OR5V1, OR2B2, OR12D3, OR1A1, OR1D5, OR1E1, OR1E2, OR1E3, OR1G1, OR3A3, OR6A2, CNGB1, CNGA2, CNGA4, ANO2, GUCY2D, CNGA3, PRKG1, PRKG2, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, PDE1A, PDE1C, PDE1B, PRKACA, PRKACB, PRKACG, ARRB1, ARRB2, GRK2, GRK3, SLC24A4, SLC8A2, SLC8A1, SLC8A3, PDE2A, NCALD, RGS2"
"213"	"Pathway.KEGG_Taste transduction"	"TRPM5, TAS1R2, PLCB2, ITPR3, SCN2A, SCN3A, SCN9A, PDE1A, PDE1C, PDE1B, CACNA1A, CACNA1C, PKD1L3, HCN4, CALHM1, SCNN1A, SCNN1B, SCNN1G, ENTPD2, TAS2R39, TAS2R40, TAS2R41, TAS2R43, TAS2R31, TAS2R45, TAS2R46, TAS2R30, TAS2R19, TAS2R20, TAS2R50, TAS2R60, TAS2R42, TAS2R3, TAS2R4, TAS2R16, TAS2R1, TAS2R9, TAS2R8, TAS2R7, TAS2R13, TAS2R10, TAS2R14, TAS2R5, TAS2R38, TAS1R1, GRM1, GRM4, TAS1R3, P2RY4, KCNK5, P2RX2, ASIC2, PKD2L1, P2RY1, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABBR1, GABBR2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, P2RX3, CHRM3, HTR3C, HTR3D, HTR3E, HTR3A, HTR3B, ADCY6, ADCY8, ADCY4, PRKACA, PRKACB, PRKACG, GNB3, GNAT3, GNG13"
"214"	"Pathway.KEGG_Phototransduction"	"CNGB1, CNGA1, RHO, PDE6A, PDE6G, PDE6B, GNAT1, GNAT2, GNB1, GNGT1, GUCY2F, GUCY2D, SLC24A1, GUCA1A, GUCA1B, GUCA1C, RCVRN, GRK7, GRK1, SAG, RGS9, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4"
"215"	"Pathway.KEGG_Inflammatory mediator regulation of TRP channels"	"P2RY2, BDKRB1, BDKRB2, HTR2A, HTR2B, HTR2C, HRH1, PTGER2, PTGER4, TRPV1, ASIC2, ASIC1, ASIC5, ASIC4, ASIC3, IL1R1, IL1RAP, NTRK1, IL1B, NGF, GNAQ, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G6, PLA2G4C, JMJD7-PLA2G4B, PLCB1, PLCB2, PLCB3, PLCB4, ALOX12, GNAS, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKCE, PRKACA, PRKACB, PRKACG, CAMK2A, CAMK2B, CAMK2D, CAMK2G, MAPK14, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAPK12, PLCG1, PLCG2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PRKCD, SRC, ITPR1, ITPR2, ITPR3, TRPA1, CYP2J2, CYP4A11, CYP4A22, TRPV4, TRPM8, PPP1CA, PPP1CB, PPP1CC, TRPV2, TRPV3, IGF1, F2RL1, PRKCA, PRKCB, PRKCG, PRKCH, PRKCQ, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, MAP2K3, MAP2K6, KNG1"
"216"	"Pathway.KEGG_Regulation of actin cytoskeleton"	"F2, TMSB4X, TMSB4Y, ARPC5, ARPC4, ARPC3, ARPC1B, ARPC2, ARPC1A, ARPC5L, PFN3, PFN4, PFN1, PFN2, WASF2, WASF1, BRK1, APC2, APC, WASL, SPATA13, ARHGEF4, ABI2, NCKAP1, NCKAP1L, CYFIP1, CYFIP2, BAIAP2, SSH1, SSH3, SSH2, CFL1, CFL2, LIMK1, LIMK2, GSN, SCIN, VCL, PIKFYVE, PIP5K1C, PIP4K2A, PIP4K2C, PIP5K1A, PIP5K1B, PIP4K2B, DIAPH1, DIAPH2, ACTN4, ACTN1, MSN, RDX, EZR, PXN, SLC9A1, PPP1R12A, PPP1R12B, PPP1R12C, PPP1CA, PPP1CB, PPP1CC, MYL12B, MYL9, MYL12A, MYLPF, MYL2, MYL5, MYL7, MYL10, MYLK4, MYLK, MYLK2, MYLK3, GIT1, ENAH, DIAPH3, ROCK1, ROCK2, PAK4, BUB1B-PAK6, PAK1, PAK2, PAK3, PAK6, PAK5, ARHGEF7, ARHGEF6, CDC42, RAC1, RAC2, RAC3, RHOA, ARHGEF12, ARHGEF1, IQGAP2, IQGAP3, IQGAP1, ARHGAP35, VAV3, TIAM1, VAV1, VAV2, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, MOS, RAF1, BRAF, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, DOCK1, FGD1, FGD3, GNG12, CRK, CRKL, BCAR1, PTK2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, BDKRB1, BDKRB2, SRC, ITGA11, ITGA6, ITGA1, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA7, ITGA9, ITGAD, ITGAE, ITGAL, ITGAM, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, ITGA10, ITGA8, FN1, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, GNA13, GNA12, SOS1, SOS2, EGFR, FGFR1, FGFR3, FGFR2, FGFR4, INSRR, PDGFRA, PDGFRB, EGF, FGF1, FGF2, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGF10, FGF20, FGF21, FGF22, PDGFA, PDGFB, PDGFC, PDGFD, FGF23, FGF18, FGF17, FGF16, FGF19, INS, F2R, ACTB, ACTG1, MYH9, MYH10, MYH14, CXCR4, LPAR1, LPAR4, LPAR5, LPAR2, CXCL12, KNG1"
